ts,game_id,game_name,igdb_id,viewers,channels
2026-09-06T01:08:12Z,509658,Just Chatting,,256499,5020
2026-09-06T01:08:12Z,132735846,ZEVENT,,226879,103
2026-09-06T01:08:12Z,743893402,WARDOGS,388285,95032,2083
2026-09-06T01:08:12Z,509672,IRL,,63470,662
2026-09-06T01:08:12Z,33214,Fortnite,1905,52324,5031
2026-09-06T01:08:12Z,21779,League of Legends,115,47433,2106
2026-09-06T01:08:12Z,32399,Counter-Strike,,49374,1300
2026-09-06T01:08:12Z,27471,Minecraft,135400,52233,3080
2026-09-06T01:08:12Z,32982,Grand Theft Auto V,1020,41431,2901
2026-09-06T01:08:12Z,516575,VALORANT,126459,36634,2660
2026-09-06T01:08:12Z,515025,Overwatch,125174,37066,1616
2026-09-06T01:08:12Z,327598602,Onimusha: Way of the Sword,325602,33053,1064
2026-09-06T01:08:12Z,902998079,Halloween: The Game,362096,29574,1428
2026-09-06T01:08:12Z,511224,Apex Legends,114795,25934,1749
2026-09-06T01:08:12Z,29595,Dota 2,,24097,662
2026-09-06T01:08:12Z,1702520304,Path of Exile 2,125642,22737,554
2026-09-06T01:08:12Z,491487,Dead by Daylight,18866,22182,1916
2026-09-06T01:08:12Z,498566,Slots,,22974,78
2026-09-06T01:08:12Z,26936,Music,,22044,537
2026-09-06T01:08:12Z,29452,Virtual Casino,45517,21813,42
2026-09-06T01:08:12Z,602040818,NBA 2K27,408823,19334,3392
2026-09-06T01:08:12Z,1357871551,The Blood of Dawnwalker,282831,18908,882
2026-09-06T01:08:12Z,18122,World of Warcraft,123,17441,1033
2026-09-06T01:08:12Z,1264310518,Marvel Rivals,294041,17010,1852
2026-09-06T01:08:12Z,499973,Always On,,17232,418
2026-09-06T01:08:12Z,512953,ELDEN RING,119133,16368,546
2026-09-06T01:08:12Z,512710,Call of Duty: Warzone,131800,15681,2019
2026-09-06T01:08:12Z,1544653089,Mimic Party,413646,15776,17
2026-09-06T01:08:12Z,13332,Pokémon FireRed/LeafGreen,,15606,91
2026-09-06T01:08:12Z,31339,Project Zomboid,3189,14480,380
2026-09-06T01:08:12Z,509659,ASMR,,14140,157
2026-09-06T01:08:12Z,513143,Teamfight Tactics,120176,13734,249
2026-09-06T01:08:12Z,2059463486,Waterpark Simulator,348648,13292,101
2026-09-06T01:08:12Z,458353,Darkest Dungeon,8965,13017,21
2026-09-06T01:08:12Z,498592,I'm Only Sleeping,71001,12297,136
2026-09-06T01:08:12Z,23020,ROBLOX,17269,10215,2617
2026-09-06T01:08:12Z,19619,Tibia,9596,9218,636
2026-09-06T01:08:12Z,460630,Rainbow Six Siege,7360,8621,2146
2026-09-06T01:08:12Z,2132205352,Deadlock,301298,8675,436
2026-09-06T01:08:12Z,1669431183,DJs,,7845,262
2026-09-06T01:08:12Z,417528,Albion Online,19698,8280,147
2026-09-06T01:08:12Z,491931,Escape from Tarkov,15536,8095,577
2026-09-06T01:08:12Z,509660,Art,,7678,495
2026-09-06T01:08:12Z,499003,VRChat,33615,7682,181
2026-09-06T01:08:12Z,401587136,Arena Breakout: Infinite,298915,7006,201
2026-09-06T01:08:12Z,138585,Hearthstone,1279,6857,93
2026-09-06T01:08:12Z,27284,Retro,,6735,326
2026-09-06T01:08:12Z,1038730744,Withering Realms,329964,6772,7
2026-09-06T01:08:12Z,24241,FINAL FANTASY XIV ONLINE,386,6596,518
2026-09-06T01:08:12Z,1441208453,Once Human,204538,6160,904
2026-09-06T01:08:12Z,464339927,ARC Raiders,185258,6290,775
2026-09-06T01:08:12Z,386821,Black Desert,6292,6899,240
2026-09-06T01:08:12Z,68351,Mount & Blade II: Bannerlord,9608,5756,29
2026-09-06T01:08:12Z,1036710512,Palworld,151665,6060,499
2026-09-06T01:08:12Z,509663,Special Events,,5756,164
2026-09-06T01:08:12Z,12839,Heroes of Might and Magic III: The Restoration of Erathia,364,5415,18
2026-09-06T01:08:12Z,30921,Rocket League,11198,5076,999
2026-09-06T01:08:12Z,263490,Rust,3277,5133,336
2026-09-06T01:08:12Z,513181,Genshin Impact,119277,5007,279
2026-09-06T01:08:12Z,493057,PUBG: BATTLEGROUNDS,27789,4628,565
2026-09-06T01:08:12Z,272263131,"Animals, Aquariums, and Zoos",,4726,298
