ts,game_id,game_name,igdb_id,viewers,channels
2026-08-27T05:51:19Z,509658,Just Chatting,,200743,3282
2026-08-27T05:51:19Z,597258098,Dale & Dawson Stationery Supplies,296326,43599,10
2026-08-27T05:51:19Z,18122,World of Warcraft,123,41345,610
2026-08-27T05:51:19Z,21779,League of Legends,115,39132,1364
2026-08-27T05:51:19Z,602040818,NBA 2K27,408823,39012,4969
2026-08-27T05:51:19Z,27471,Minecraft,135400,21172,1634
2026-08-27T05:51:19Z,498566,Slots,,26660,62
2026-08-27T05:51:19Z,516575,VALORANT,126459,24490,1791
2026-08-27T05:51:19Z,32399,Counter-Strike,,25389,632
2026-08-27T05:51:19Z,509672,IRL,,23487,430
2026-08-27T05:51:19Z,33214,Fortnite,1905,20114,3531
2026-08-27T05:51:19Z,491487,Dead by Daylight,18866,19563,1673
2026-08-27T05:51:19Z,1264310518,Marvel Rivals,294041,18474,1466
2026-08-27T05:51:19Z,511224,Apex Legends,114795,17659,1521
2026-08-27T05:51:19Z,32982,Grand Theft Auto V,1020,15533,1291
2026-08-27T05:51:19Z,515025,Overwatch,125174,14823,1248
2026-08-27T05:51:19Z,29595,Dota 2,,14971,435
2026-08-27T05:51:19Z,513143,Teamfight Tactics,120176,14943,386
2026-08-27T05:51:19Z,499973,Always On,,12853,406
2026-08-27T05:51:19Z,509659,ASMR,,12306,174
2026-08-27T05:51:19Z,29452,Virtual Casino,45517,11160,33
2026-08-27T05:51:19Z,1898040946,How to Fish,378170,10748,375
2026-08-27T05:51:19Z,512710,Call of Duty: Warzone,131800,10761,1225
2026-08-27T05:51:19Z,491931,Escape from Tarkov,15536,10125,495
2026-08-27T05:51:19Z,1081998272,PEAK,349524,7819,250
2026-08-27T05:51:19Z,138585,Hearthstone,1279,7742,75
2026-08-27T05:51:19Z,498592,I'm Only Sleeping,71001,7717,204
2026-08-27T05:51:19Z,674491029,Star Wars Zero Company,340113,7247,7
2026-08-27T05:51:19Z,493057,PUBG: BATTLEGROUNDS,27789,7251,300
2026-08-27T05:51:19Z,55453844,Street Fighter 6,191692,7001,118
2026-08-27T05:51:19Z,509660,Art,,6944,413
2026-08-27T05:51:19Z,884569009,The Choicer Voicer,307223,5240,23
2026-08-27T05:51:19Z,30921,Rocket League,11198,6523,581
2026-08-27T05:51:19Z,488662,LISA: The Painful,8492,6229,1
2026-08-27T05:51:19Z,31339,Project Zomboid,3189,6165,226
2026-08-27T05:51:19Z,23020,ROBLOX,17269,6052,1110
2026-08-27T05:51:19Z,2132205352,Deadlock,301298,6102,290
2026-08-27T05:51:19Z,669337588,Microsoft Flight Simulator 2024,252830,5798,26
2026-08-27T05:51:19Z,386821,Black Desert,6292,5686,147
2026-08-27T05:51:19Z,1832841853,Mortal Shell II,347633,5521,326
2026-08-27T05:51:19Z,1669431183,DJs,,5369,152
2026-08-27T05:51:19Z,26936,Music,,4623,379
2026-08-27T05:51:19Z,499003,VRChat,33615,5149,117
2026-08-27T05:51:19Z,24241,FINAL FANTASY XIV ONLINE,386,5049,310
2026-08-27T05:51:19Z,464339927,ARC Raiders,185258,5052,523
2026-08-27T05:51:19Z,499634,Crypto,76760,5024,90
2026-08-27T05:51:19Z,27284,Retro,,4939,239
2026-08-27T05:51:19Z,513181,Genshin Impact,119277,5030,207
2026-08-27T05:51:19Z,66082,Games + Demos,,4933,597
2026-08-27T05:51:19Z,511229,Pogostuck: Rage With Your Friends,113049,5002,12
2026-08-27T05:51:19Z,1441208453,Once Human,204538,4822,547
2026-08-27T05:51:19Z,272263131,"Animals, Aquariums, and Zoos",,4335,297
2026-08-27T05:51:19Z,1036710512,Palworld,151665,4131,411
2026-08-27T05:51:19Z,459931,Old School RuneScape,79824,4096,132
2026-08-27T05:51:19Z,27546,World of Tanks,1184,3971,71
2026-08-27T05:51:19Z,460630,Rainbow Six Siege,7360,3598,876
2026-08-27T05:51:19Z,570615518,Resonance: A Plague Tale Legacy,348168,3874,37
2026-08-27T05:51:19Z,982017546,Palia,151467,3627,80
2026-08-27T05:51:19Z,670138298,Madden NFL 27,400379,3266,407
2026-08-27T05:51:19Z,512953,ELDEN RING,119133,3059,253
2026-08-27T05:51:19Z,2012789438,Call of Duty: Black Ops 7,348220,2960,387
2026-08-27T05:51:19Z,210472759,Shift at Midnight,352789,3038,105
2026-08-27T05:51:19Z,624536948,EA Sports FC 26,353848,2740,475
2026-08-27T05:51:19Z,19619,Tibia,9596,2760,191
2026-08-27T05:51:19Z,13332,Pokémon FireRed/LeafGreen,,2732,65
2026-08-27T05:51:19Z,1743359147,MARVEL SNAP,202279,2613,19
2026-08-27T05:51:19Z,1623306862,1666: Amsterdam,404693,2572,18
2026-08-27T05:51:19Z,416015,Hero Siege,11708,2553,54
2026-08-27T05:51:19Z,490655,Pokémon GO,12515,2588,35
2026-08-27T05:51:19Z,417528,Albion Online,19698,2326,75
2026-08-27T05:51:19Z,65632,DayZ,2117,2142,120
2026-08-27T05:51:19Z,29307,Path of Exile,1911,2142,74
2026-08-27T05:51:19Z,1597660489,RESIDENT EVIL: requiem,347668,2062,57
2026-08-27T05:51:19Z,518184,Phasmophobia,132516,1954,206
2026-08-27T05:51:19Z,509511,Marbles on Stream,116975,2012,69
2026-08-27T05:51:19Z,493959,Red Dead Redemption II,25076,2011,166
2026-08-27T05:51:19Z,1282866981,Delta Force,262186,1929,132
2026-08-27T05:51:19Z,509663,Special Events,,1877,64
2026-08-27T05:51:19Z,630009802,MARVEL TŌKON: Fighting Souls,347132,1855,71
2026-08-27T05:51:19Z,213930085,Honkai: Star Rail,178282,1704,116
2026-08-27T05:51:19Z,1763844707,Aliens: Fireteam Elite 2,400824,1808,96
2026-08-27T05:51:19Z,1913410799,Total War: WARHAMMER III,143114,1749,16
2026-08-27T05:51:19Z,7022,The Forest,7504,1726,19
2026-08-27T05:51:19Z,66170,Warframe,2903,1615,204
2026-08-27T05:51:19Z,1630982727,Where Winds Meet,214414,1517,80
2026-08-27T05:51:19Z,852009328,Mistfall Hunter,320141,1661,117
2026-08-27T05:51:19Z,71375,Star Citizen,1595,1637,110
2026-08-27T05:51:19Z,401587136,Arena Breakout: Infinite,298915,1573,141
2026-08-27T05:51:19Z,511399,Super Mario Maker 2,115276,1656,11
2026-08-27T05:51:19Z,982348888,ELDEN RING NIGHTREIGN,325591,1654,139
2026-08-27T05:51:19Z,1494,Call of Duty,621,1501,1020
2026-08-27T05:51:19Z,1846293708,Fields of Mistria,226035,812,55
2026-08-27T05:51:19Z,168648543,Battlefield 6,317407,1522,354
2026-08-27T05:51:19Z,497057,Destiny 2,25657,1552,193
2026-08-27T05:51:19Z,1294658629,R.E.P.O.,332780,1487,101
2026-08-27T05:51:19Z,491168,Clash Royale,15707,1510,28
2026-08-27T05:51:19Z,1099705332,Tomodachi Life: Living the Dream,337036,1452,19
2026-08-27T05:51:19Z,18707,Grand Theft Auto IV,731,1436,29
2026-08-27T05:51:19Z,626298054,Machine Party,397811,1373,9
2026-08-27T05:51:19Z,32502,World of Warships,5587,1386,16
2026-08-27T17:07:13Z,509658,Just Chatting,,532236,4764
2026-08-27T17:07:13Z,27471,Minecraft,135400,142294,2900
2026-08-27T17:07:13Z,32399,Counter-Strike,,136712,2083
2026-08-27T17:07:13Z,21779,League of Legends,115,105681,1920
2026-08-27T17:07:13Z,32982,Grand Theft Auto V,1020,95269,2375
2026-08-27T17:07:13Z,509672,IRL,,93173,682
2026-08-27T17:07:13Z,18122,World of Warcraft,123,87211,1265
2026-08-27T17:07:13Z,29595,Dota 2,,69488,1503
2026-08-27T17:07:13Z,674491029,Star Wars Zero Company,340113,65126,1098
2026-08-27T17:07:13Z,516575,VALORANT,126459,60853,3104
2026-08-27T17:07:13Z,518203,Sports,,54197,227
2026-08-27T17:07:13Z,33214,Fortnite,1905,42478,5115
2026-08-27T17:07:13Z,498566,Slots,,44700,126
2026-08-27T17:07:13Z,491931,Escape from Tarkov,15536,42927,722
2026-08-27T17:07:13Z,509663,Special Events,,40064,135
2026-08-27T17:07:13Z,513143,Teamfight Tactics,120176,34962,527
2026-08-27T17:07:13Z,491487,Dead by Daylight,18866,29982,1599
2026-08-27T17:07:13Z,570615518,Resonance: A Plague Tale Legacy,348168,30798,690
2026-08-27T17:07:13Z,2058220722,Poppy Playtime,176057,29383,10
2026-08-27T17:07:13Z,602040818,NBA 2K27,408823,26490,3317
2026-08-27T17:07:13Z,512710,Call of Duty: Warzone,131800,22197,1211
2026-08-27T17:07:13Z,515025,Overwatch,125174,21570,1206
2026-08-27T17:07:13Z,1832841853,Mortal Shell II,347633,10470,640
2026-08-27T17:07:13Z,505884,PUBG MOBILE,95340,21582,159
2026-08-27T17:07:13Z,27546,World of Tanks,1184,19496,190
2026-08-27T17:07:13Z,511224,Apex Legends,114795,18029,1763
2026-08-27T17:07:13Z,499973,Always On,,17719,398
2026-08-27T17:07:13Z,263490,Rust,3277,17417,345
2026-08-27T17:07:13Z,1264310518,Marvel Rivals,294041,15783,991
2026-08-27T17:07:13Z,1081998272,PEAK,349524,14664,248
2026-08-27T17:07:13Z,509660,Art,,12517,732
2026-08-27T17:07:13Z,386821,Black Desert,6292,12460,309
2026-08-27T17:07:13Z,138585,Hearthstone,1279,11609,145
2026-08-27T17:07:13Z,509659,ASMR,,10394,152
2026-08-27T17:07:13Z,624536948,EA Sports FC 26,353848,9123,598
2026-08-27T17:07:13Z,31339,Project Zomboid,3189,9781,370
2026-08-27T17:07:13Z,29452,Virtual Casino,45517,9869,31
2026-08-27T17:07:13Z,2090279789,FINAL FANTASY XVI,31551,9524,23
2026-08-27T17:07:13Z,19619,Tibia,9596,8744,464
2026-08-27T17:07:13Z,499634,Crypto,76760,8861,142
2026-08-27T17:07:13Z,493057,PUBG: BATTLEGROUNDS,27789,8444,668
2026-08-27T17:07:13Z,416015,Hero Siege,11708,8154,118
2026-08-27T17:07:13Z,504463,Tom Clancy's The Division 2,90099,8331,231
2026-08-27T17:07:13Z,735904419,ARK: Survival Ascended,250509,7876,109
2026-08-27T17:07:13Z,278888515,Gartic Phone,140781,7475,32
2026-08-27T17:07:13Z,401587136,Arena Breakout: Infinite,298915,7685,277
2026-08-27T17:07:13Z,488190,Poker,,7446,128
2026-08-27T17:07:13Z,460630,Rainbow Six Siege,7360,7407,885
