ts,game_id,game_name,igdb_id,viewers,channels
2026-09-05T00:55:49Z,509658,Just Chatting,,287928,5112
2026-09-05T00:55:49Z,132735846,ZEVENT,,221882,114
2026-09-05T00:55:49Z,743893402,WARDOGS,388285,95311,2214
2026-09-05T00:55:49Z,1702520304,Path of Exile 2,125642,80336,1393
2026-09-05T00:55:49Z,32982,Grand Theft Auto V,1020,53086,3252
2026-09-05T00:55:49Z,27471,Minecraft,135400,52177,2851
2026-09-05T00:55:49Z,33214,Fortnite,1905,56463,5179
2026-09-05T00:55:49Z,21779,League of Legends,115,49474,2202
2026-09-05T00:55:49Z,902998079,Halloween: The Game,362096,49583,2445
2026-09-05T00:55:49Z,327598602,Onimusha: Way of the Sword,325602,49133,1228
2026-09-05T00:55:49Z,509672,IRL,,47709,584
2026-09-05T00:55:49Z,1357871551,The Blood of Dawnwalker,282831,39175,992
2026-09-05T00:55:49Z,511224,Apex Legends,114795,37854,1801
2026-09-05T00:55:49Z,516575,VALORANT,126459,31180,2627
2026-09-05T00:55:49Z,32399,Counter-Strike,,24850,1393
2026-09-05T00:55:49Z,498566,Slots,,27769,93
2026-09-05T00:55:49Z,602040818,NBA 2K27,408823,21618,3816
2026-09-05T00:55:49Z,515025,Overwatch,125174,20152,1765
2026-09-05T00:55:49Z,29595,Dota 2,,20662,673
2026-09-05T00:55:49Z,491487,Dead by Daylight,18866,18463,1984
2026-09-05T00:55:49Z,18122,World of Warcraft,123,20007,1049
2026-09-05T00:55:49Z,1264310518,Marvel Rivals,294041,19930,2090
2026-09-05T00:55:49Z,513143,Teamfight Tactics,120176,21604,292
2026-09-05T00:55:49Z,263490,Rust,3277,18131,362
2026-09-05T00:55:49Z,29452,Virtual Casino,45517,15181,40
2026-09-05T00:55:49Z,13332,Pokémon FireRed/LeafGreen,,15170,118
2026-09-05T00:55:49Z,512710,Call of Duty: Warzone,131800,14288,2049
2026-09-05T00:55:49Z,512953,ELDEN RING,119133,6484,553
2026-09-05T00:55:49Z,509659,ASMR,,12967,154
2026-09-05T00:55:49Z,499973,Always On,,19700,427
2026-09-05T00:55:49Z,543818421,Breathedge 2,252870,12110,5
2026-09-05T00:55:49Z,1898040946,How to Fish,378170,11054,406
2026-09-05T00:55:49Z,921298138,BOMBANANA!,404342,10296,112
2026-09-05T00:55:49Z,23020,ROBLOX,17269,9331,2308
2026-09-05T00:55:49Z,19619,Tibia,9596,9294,698
2026-09-05T00:55:49Z,1669431183,DJs,,9754,325
2026-09-05T00:55:49Z,460630,Rainbow Six Siege,7360,9346,1787
2026-09-05T00:55:49Z,30921,Rocket League,11198,9241,971
2026-09-05T00:55:49Z,464339927,ARC Raiders,185258,7426,715
2026-09-05T00:55:49Z,498592,I'm Only Sleeping,71001,9242,142
2026-09-05T00:55:49Z,509660,Art,,8638,571
2026-09-05T00:55:49Z,461221,MARVEL Contest of Champions,28107,8913,18
2026-09-05T00:55:49Z,10609,Pokémon Emerald Version,1517,9152,45
2026-09-05T00:55:49Z,458353,Darkest Dungeon,8965,8644,33
2026-09-05T00:55:49Z,491931,Escape from Tarkov,15536,8083,571
2026-09-05T00:55:49Z,499003,VRChat,33615,8169,244
2026-09-05T00:55:49Z,1038730744,Withering Realms,329964,7947,6
2026-09-05T00:55:49Z,26936,Music,,7554,581
2026-09-05T00:55:49Z,24241,FINAL FANTASY XIV ONLINE,386,7617,563
2026-09-05T00:55:49Z,539102438,Watch Your Plastic Duck,218659,7660,3
2026-09-05T00:55:49Z,417528,Albion Online,19698,7448,154
2026-09-05T00:55:49Z,328338354,House 2,267094,7308,3
2026-09-05T00:55:49Z,2132205352,Deadlock,301298,6855,438
2026-09-05T00:55:49Z,138585,Hearthstone,1279,6895,92
2026-09-05T00:55:49Z,27284,Retro,,6769,341
2026-09-05T00:55:49Z,31339,Project Zomboid,3189,6421,373
2026-09-05T00:55:49Z,493959,Red Dead Redemption II,25076,6149,457
2026-09-05T00:55:49Z,27546,World of Tanks,1184,5973,106
2026-09-05T00:55:49Z,386821,Black Desert,6292,5842,244
2026-09-05T00:55:49Z,65876,Cyberpunk 2077,1877,5888,182
