ts,game_id,game_name,igdb_id,viewers,channels
2026-08-24T00:46:59Z,509658,Just Chatting,,275393,4497
2026-08-24T00:46:59Z,21779,League of Legends,115,83009,2235
2026-08-24T00:46:59Z,516575,VALORANT,126459,80005,2656
2026-08-24T00:46:59Z,32982,Grand Theft Auto V,1020,78327,2759
2026-08-24T00:46:59Z,511224,Apex Legends,114795,67843,1952
2026-08-24T00:46:59Z,743893402,WARDOGS,388285,65433,950
2026-08-24T00:46:59Z,18122,World of Warcraft,123,63727,1119
2026-08-24T00:46:59Z,509672,IRL,,53725,546
2026-08-24T00:46:59Z,33214,Fortnite,1905,49147,5253
2026-08-24T00:46:59Z,1269041770,Liar's Bar,317695,17,3
2026-08-24T00:46:59Z,1832841853,Mortal Shell II,347633,40089,682
2026-08-24T00:46:59Z,27471,Minecraft,135400,37482,3072
2026-08-24T00:46:59Z,32399,Counter-Strike,,33216,1225
2026-08-24T00:46:59Z,515025,Overwatch,125174,30607,1470
2026-08-24T00:46:59Z,498566,Slots,,28596,91
2026-08-24T00:46:59Z,1478650472,Call of Duty: Modern Warfare 4,403310,27183,1868
2026-08-24T00:46:59Z,29595,Dota 2,,26088,615
2026-08-24T00:46:59Z,491487,Dead by Daylight,18866,23260,1858
2026-08-24T00:46:59Z,1264310518,Marvel Rivals,294041,22849,2076
2026-08-24T00:46:59Z,491931,Escape from Tarkov,15536,19914,613
2026-08-24T00:46:59Z,1898040946,How to Fish,378170,19057,575
2026-08-24T00:46:59Z,499973,Always On,,15673,396
2026-08-24T00:46:59Z,512710,Call of Duty: Warzone,131800,14164,1856
2026-08-24T00:46:59Z,624536948,EA Sports FC 26,353848,13425,1008
2026-08-24T00:46:59Z,1471610418,Super Mario Party Jamboree,306148,3899,13
2026-08-24T00:46:59Z,30921,Rocket League,11198,12617,974
2026-08-24T00:46:59Z,458353,Darkest Dungeon,8965,12664,20
2026-08-24T00:46:59Z,502317,60 Parsecs!,11710,11962,1
2026-08-24T00:46:59Z,509659,ASMR,,11919,155
2026-08-24T00:46:59Z,386821,Black Desert,6292,10841,229
2026-08-24T00:46:59Z,29452,Virtual Casino,45517,11505,46
2026-08-24T00:46:59Z,272263131,"Animals, Aquariums, and Zoos",,8649,311
2026-08-24T00:46:59Z,493057,PUBG: BATTLEGROUNDS,27789,10588,613
2026-08-24T00:46:59Z,509660,Art,,8862,485
2026-08-24T00:46:59Z,31339,Project Zomboid,3189,9040,388
2026-08-24T00:46:59Z,19619,Tibia,9596,9088,494
2026-08-24T00:46:59Z,414822821,Sid Meier's Civilization VII,305006,9058,3
2026-08-24T00:46:59Z,23020,ROBLOX,17269,8451,2231
2026-08-24T00:46:59Z,24241,FINAL FANTASY XIV ONLINE,386,8320,568
2026-08-24T00:46:59Z,65876,Cyberpunk 2077,1877,8471,224
2026-08-24T00:46:59Z,26936,Music,,7972,534
2026-08-24T00:46:59Z,460630,Rainbow Six Siege,7360,7438,1897
2026-08-24T00:46:59Z,27284,Retro,,7996,326
2026-08-24T00:46:59Z,670138298,Madden NFL 27,400379,7174,1402
2026-08-24T00:46:59Z,2132205352,Deadlock,301298,7658,412
2026-08-24T00:46:59Z,1081998272,PEAK,349524,7519,536
2026-08-24T00:46:59Z,464339927,ARC Raiders,185258,6666,830
2026-08-24T00:46:59Z,509663,Special Events,,6956,89
2026-08-24T00:46:59Z,488190,Poker,,6503,80
2026-08-24T00:46:59Z,459931,Old School RuneScape,79824,6353,206
2026-08-24T00:46:59Z,512953,ELDEN RING,119133,6200,467
2026-08-24T00:46:59Z,66082,Games + Demos,,6303,1579
2026-08-24T00:46:59Z,499003,VRChat,33615,6075,145
2026-08-24T00:46:59Z,138585,Hearthstone,1279,5891,86
2026-08-24T00:46:59Z,965771331,Deltarune,171233,5698,66
2026-08-24T00:46:59Z,27546,World of Tanks,1184,5870,72
2026-08-24T00:46:59Z,513181,Genshin Impact,119277,5687,403
2026-08-24T00:46:59Z,55453844,Street Fighter 6,191692,5579,123
2026-08-24T00:46:59Z,1763263,nanos world,152927,4890,42
2026-08-24T00:46:59Z,2692,Super Mario 64,1074,5206,38
2026-08-24T00:46:59Z,1669431183,DJs,,4943,186
2026-08-24T00:46:59Z,1036710512,Palworld,151665,4861,732
2026-08-24T00:46:59Z,417528,Albion Online,19698,4758,144
2026-08-24T00:46:59Z,1119642287,Yu-Gi-Oh! Master Duel,159298,4692,67
2026-08-24T00:46:59Z,499634,Crypto,76760,4588,107
2026-08-24T00:46:59Z,1905866940,Carpet Cleaning Simulator,407474,4399,2
2026-08-24T00:46:59Z,852009328,Mistfall Hunter,320141,4351,248
2026-08-24T00:46:59Z,506326,Someday You'll Return,102890,4201,1
