ts,game_id,game_name,igdb_id,viewers,channels
2026-08-28T01:28:49Z,509658,Just Chatting,,382135,4843
2026-08-28T01:28:49Z,1898040946,How to Fish,378170,61904,661
2026-08-28T01:28:49Z,18122,World of Warcraft,123,56403,2349
2026-08-28T01:28:49Z,21779,League of Legends,115,53635,2122
2026-08-28T01:28:49Z,32982,Grand Theft Auto V,1020,52861,2985
2026-08-28T01:28:49Z,491931,Escape from Tarkov,15536,50851,741
2026-08-28T01:28:49Z,27471,Minecraft,135400,45840,2737
2026-08-28T01:28:49Z,33214,Fortnite,1905,38500,5120
2026-08-28T01:28:49Z,602040818,NBA 2K27,408823,35080,5443
2026-08-28T01:28:49Z,516575,VALORANT,126459,32965,2513
2026-08-28T01:28:49Z,570615518,Resonance: A Plague Tale Legacy,348168,34566,480
2026-08-28T01:28:49Z,29595,Dota 2,,33977,639
2026-08-28T01:28:49Z,30921,Rocket League,11198,32403,1056
2026-08-28T01:28:49Z,32399,Counter-Strike,,32653,1197
2026-08-28T01:28:49Z,491487,Dead by Daylight,18866,29773,2443
2026-08-28T01:28:49Z,513143,Teamfight Tactics,120176,27623,426
2026-08-28T01:28:49Z,511224,Apex Legends,114795,25814,2067
2026-08-28T01:28:49Z,1264310518,Marvel Rivals,294041,22866,1997
2026-08-28T01:28:49Z,498566,Slots,,24244,82
2026-08-28T01:28:49Z,674491029,Star Wars Zero Company,340113,19004,855
2026-08-28T01:28:49Z,624536948,EA Sports FC 26,353848,17053,1078
2026-08-28T01:28:49Z,509672,IRL,,16763,513
2026-08-28T01:28:49Z,458353,Darkest Dungeon,8965,16261,28
2026-08-28T01:28:49Z,1867279146,Grand Theft Auto VI,52189,12322,309
2026-08-28T01:28:49Z,499973,Always On,,14854,398
2026-08-28T01:28:49Z,515025,Overwatch,125174,12685,1612
2026-08-28T01:28:49Z,512710,Call of Duty: Warzone,131800,13290,2142
2026-08-28T01:28:49Z,518203,Sports,,13343,149
2026-08-28T01:28:49Z,1702520304,Path of Exile 2,125642,12792,105
2026-08-28T01:28:49Z,509659,ASMR,,12245,174
2026-08-28T01:28:49Z,512953,ELDEN RING,119133,10072,400
2026-08-28T01:28:49Z,493959,Red Dead Redemption II,25076,10001,366
2026-08-28T01:28:49Z,19619,Tibia,9596,9834,570
2026-08-28T01:28:49Z,460630,Rainbow Six Siege,7360,8935,1678
2026-08-28T01:28:49Z,509660,Art,,8807,586
2026-08-28T01:28:49Z,2132205352,Deadlock,301298,9314,473
